ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,Dwell,2026-03-25,16:48:54,16:48:54.830,16:49:08.04413,214
SetupScene,P1,Dwell,2026-03-25,16:49:09,16:49:09.346,16:49:16.1916,845
