ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,Dwell,2026-03-25,15:07:32,15:07:32.889,15:07:44.15411,265
MainScene,P1,Dwell,2026-03-25,15:07:45,15:07:45.499,15:07:59.38413,885
