ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,Dwell,2026-03-25,18:21:38,18:21:38.090,18:21:45.8307,740
SetupScene,P1,Dwell,2026-03-25,18:21:47,18:21:47.617,18:22:32.46644,849
