ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,FaceGesture,2026-03-25,14:49:19,14:49:19.554,14:49:40.54720,993
SetupScene,P1,FaceGesture,2026-03-25,14:49:43,14:49:43.148,14:50:35.98852,840
