ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,Dwell,2026-03-25,16:50:04,16:50:04.202,16:50:14.37510,173
SetupScene,P1,Dwell,2026-03-25,16:50:15,16:50:15.730,16:50:40.58424,855
