ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,Speech,2026-03-25,10:52:21,10:52:21.463,10:52:31.3479,884
testSetupScene,P1,Speech,2026-03-25,10:52:31,10:52:31.689,10:52:54.05122,362
