ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,FaceGesture,2026-03-25,16:44:50,16:44:50.244,16:44:57.8167,572
SetupScene,P1,FaceGesture,2026-03-25,16:44:59,16:44:59.759,16:45:36.60736,848
