ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,Dwell,2026-03-25,16:57:51,16:57:51.902,16:57:59.4327,530
SetupScene,P1,Dwell,2026-03-25,16:58:01,16:58:01.409,16:58:40.19038,781
