ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,FaceGesture,2026-03-25,16:15:39,16:15:39.702,16:15:58.46818,766
SetupScene,P1,FaceGesture,2026-03-25,16:16:00,16:16:00.289,16:16:25.14624,857
