ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,FaceGesture,2026-03-25,16:43:26,16:43:26.170,16:43:35.1108,940
SetupScene,P1,FaceGesture,2026-03-25,16:43:37,16:43:37.701,16:44:07.55729,856
