ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
SetupScene,P1,Joystick,2026-01-16,13:19:16,13:19:16.792,13:19:32.05715,264
SetupScene,P1,Joystick,2026-01-16,13:19:43,13:19:43.951,13:19:59.59615,645
