ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
SetupScene,P1,Dwell,2026-01-28,10:15:10,10:15:10.904,10:15:28.06417,160
SetupScene,P1,FaceGesture,2026-01-28,10:15:39,10:15:39.296,10:16:58.22778,931
