ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,Dwell,2026-03-25,15:08:25,15:08:25.842,15:08:36.91911,077
SetupScene,P1,Dwell,2026-03-25,15:08:39,15:08:39.382,15:09:04.24724,865
