ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,Dwell,2026-03-25,16:52:23,16:52:23.571,16:52:33.77910,208
SetupScene,P1,Dwell,2026-03-25,16:52:35,16:52:35.086,16:53:06.94631,859
