ParticipantID,SelectionMethod,Date,Hour,StartTime,FinishTime,TrialDurationSeconds
FirstScene,P1,FaceGesture,2026-03-25,15:06:20,15:06:20.449,15:06:58.75038,301
MainScene,P1,FaceGesture,2026-03-25,15:07:00,15:07:00.093,15:07:26.95526,861
